Date,Name,Year,Letterboxd URI,Rating
2020-01-22,Spirited Away,2001,https://boxd.it/2b4m,4.5
2020-01-22,Apocalypse Now,1979,https://boxd.it/6ZS,4.5
2020-01-22,Alien,1979,https://boxd.it/2awY,5
2020-01-22,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2020-01-22,The Social Network,2010,https://boxd.it/17ue,4
2020-01-22,Insidious,2010,https://boxd.it/H4k,3
2020-01-22,Pan's Labyrinth,2006,https://boxd.it/28No,4.5
2020-01-22,Easy A,2010,https://boxd.it/17DK,2.5
2020-01-22,Jurassic Park,1993,https://boxd.it/2aA2,4
2020-01-22,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2020-01-22,Arrival,2016,https://boxd.it/aNGk,4.5
2020-01-22,Interstellar,2014,https://boxd.it/4VZ8,4
2020-01-22,Baby Driver,2017,https://boxd.it/bhF2,4
2020-01-25,Blindspotting,2018,https://boxd.it/hDMw,4
2020-01-25,BlacKkKlansman,2018,https://boxd.it/hxL8,3.5
2020-01-25,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2020-01-26,Silence,2016,https://boxd.it/2cAo,4
2020-01-26,You Were Never Really Here,2017,https://boxd.it/dWOS,4
2020-01-26,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3
2020-01-26,It Comes at Night,2017,https://boxd.it/eLuk,3.5
2020-01-26,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,3
2020-01-26,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3.5
2020-01-26,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2020-01-26,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,3
2020-01-26,The Star Wars Holiday Special,1978,https://boxd.it/2yMw,0.5
2020-01-26,The Day After Tomorrow,2004,https://boxd.it/2aog,2.5
2020-01-26,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,2
2020-01-26,X-Men: Apocalypse,2016,https://boxd.it/7eJi,2.5
2020-01-26,Zoom,2006,https://boxd.it/1OKa,2
2020-01-26,"Honey, I Shrunk the Kids",1989,https://boxd.it/1YTw,3
2020-01-26,Warrior,2011,https://boxd.it/i3G,4
2020-01-26,The Last Samurai,2003,https://boxd.it/29ZA,3
2020-01-27,Cast Away,2000,https://boxd.it/20i8,3.5
2020-01-27,Brokeback Mountain,2005,https://boxd.it/2b2q,4
2020-01-27,Garden State,2004,https://boxd.it/2asW,3.5
2020-01-30,Keanu,2016,https://boxd.it/brha,2.5
2020-02-03,Zootopia,2016,https://boxd.it/84xS,4
2020-02-07,12 Angry Men,1957,https://boxd.it/2auI,4.5
2020-02-07,Night at the Museum,2006,https://boxd.it/28wi,2
2020-02-07,Meet the Robinsons,2007,https://boxd.it/28Ym,3
2020-02-07,Tarzan,1999,https://boxd.it/18YO,3.5
2020-02-07,The Princess and the Frog,2009,https://boxd.it/1WQq,3.5
2020-02-08,Hostiles,2017,https://boxd.it/dpiO,3.5
2020-02-08,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,4
2020-02-08,127 Hours,2010,https://boxd.it/SLa,2
2020-02-08,Zero Dark Thirty,2012,https://boxd.it/3n1w,3.5
2020-02-08,The Post,2017,https://boxd.it/fTeG,3
2020-02-09,Donnie Darko,2001,https://boxd.it/2b2A,3.5
2020-02-13,Mr. Smith Goes to Washington,1939,https://boxd.it/25Ms,4
2020-02-13,The Help,2011,https://boxd.it/EDm,4
2020-02-13,The Color Purple,1985,https://boxd.it/29oO,4
2020-02-20,Full Metal Jacket,1987,https://boxd.it/2a1Q,4
2020-02-21,The Island,2005,https://boxd.it/28qE,2.5
2020-02-25,"I, Robot",2004,https://boxd.it/27y8,3
2020-02-26,Eye in the Sky,2015,https://boxd.it/aZg4,3.5
2020-02-26,Moneyball,2011,https://boxd.it/glS,3.5
2020-02-29,Rosemary's Baby,1968,https://boxd.it/29zM,4
2020-03-03,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2020-03-03,10 Cloverfield Lane,2016,https://boxd.it/aZiu,3.5
2020-03-03,12 Years a Slave,2013,https://boxd.it/2D2e,4
2020-03-03,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,3.5
2020-03-03,21 Jump Street,2012,https://boxd.it/J0,3
2020-03-03,Zombieland,2009,https://boxd.it/1En6,3
2020-03-17,A Few Good Men,1992,https://boxd.it/29nw,4
2020-03-23,The Master,2012,https://boxd.it/2cBG,4
2022-03-06,The Seventh Seal,1957,https://boxd.it/2ahO,4.5
2022-03-06,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,4
2022-07-04,Parasite,2019,https://boxd.it/hTha,4.5
2022-07-04,Jojo Rabbit,2019,https://boxd.it/iEBG,3.5
2022-07-04,It Chapter Two,2019,https://boxd.it/h10u,2.5
2022-07-04,Ready or Not,2019,https://boxd.it/kOf0,3
2022-07-04,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,1.5
2022-07-04,Green Book,2018,https://boxd.it/hErk,3
2022-07-04,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/glCG,2
2022-07-04,Honeyland,2019,https://boxd.it/kL8K,4
2022-07-04,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,3.5
2022-07-04,The Art of Self-Defense,2019,https://boxd.it/hf5y,3.5
2022-07-04,Good Boys,2019,https://boxd.it/iW1G,1
2022-07-04,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,2
2022-07-04,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2022-07-04,A Quiet Place,2018,https://boxd.it/fVJQ,3
2022-07-04,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2022-07-04,Annihilation,2018,https://boxd.it/9yzm,4
2022-07-04,It's a Wonderful Life,1946,https://boxd.it/28xA,4.5
2022-07-04,A Streetcar Named Desire,1951,https://boxd.it/29Mc,3
2022-07-04,Jaws,1975,https://boxd.it/2a5e,4.5
2022-07-04,Rocky,1976,https://boxd.it/28Uk,3.5
2022-07-04,This Is Spinal Tap,1984,https://boxd.it/1UOs,3
2022-07-04,The Natural,1984,https://boxd.it/1TX4,2.5
2022-07-04,Clue,1985,https://boxd.it/1MDQ,3
2022-07-04,Big Trouble in Little China,1986,https://boxd.it/21em,3
2022-07-04,Coming to America,1988,https://boxd.it/1Ygu,3
2022-07-04,Rain Man,1988,https://boxd.it/2avw,3
2022-07-04,Dirty Rotten Scoundrels,1988,https://boxd.it/1WZi,3
2022-07-04,Dead Poets Society,1989,https://boxd.it/2aSg,4
2022-07-04,Decalogue V,1989,https://boxd.it/3Wma,4
2022-07-04,The Little Mermaid,1989,https://boxd.it/1WYO,3
2022-07-04,Cape Fear,1991,https://boxd.it/28vu,3
2022-07-04,Alien³,1992,https://boxd.it/20zS,2
2022-07-04,Patriot Games,1992,https://boxd.it/1XEA,3
2022-07-04,School Ties,1992,https://boxd.it/1NAe,3
2022-07-04,The Lion King,1994,https://boxd.it/201Q,4.5
2022-07-04,Forrest Gump,1994,https://boxd.it/728,3
2022-07-04,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2022-07-04,Braveheart,1995,https://boxd.it/2aTI,3
2022-07-04,James and the Giant Peach,1996,https://boxd.it/1W0O,2
2022-07-04,Hercules,1997,https://boxd.it/1SDW,2.5
2022-07-04,As Good as It Gets,1997,https://boxd.it/268y,3
2022-07-04,Saving Private Ryan,1998,https://boxd.it/29ro,4
2022-07-04,Tenet,2020,https://boxd.it/leq4,3.5
2022-07-04,Creep,2014,https://boxd.it/7l4c,2.5
2022-07-04,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,3
